Brazil,3,1
Iran,8,1
Japan,1,1
Korea,8,1
United States,18,1
China,10,2
France,4,2
Germany,5,2
Great Britain,9,2
Iran,9,2
Mexico,7,2
Ukraine,7,2
Germany,4,3
Russia,9,3
Ukraine,2,3
United States,1,3
China,8,4
Iran,25,4
Japan,1,4
Korea,4,4
Russia,3,4
United States,9,4
Brazil,8,5
France,1,5
Germany,8,5
Ireland,6,5
Korea,5,5
Ukraine,3,5
United States,15,5
France,12,7
Germany,2,7
India,4,7
Ireland,3,7
Ukraine,9,7
Ireland,3,8
Brazil,10,9
China,5,9
France,10,9
Great Britain,7,9
India,2,9
Iran,10,9
Ireland,12,9
Japan,20,9
Russia,7,9
Ukraine,14,9
Korea,10,10
Russia,4,10
Ukraine,3,10
United States,7,10
Germany,16,11
Iran,7,11
Korea,5,11
Australia,7,12
Brazil,28,12
Germany,12,12
India,8,12
Ireland,7,12
Japan,6,12
Korea,11,12
Mexico,6,12
United States,10,12
Brazil,9,13
France,2,13
Great Britain,4,13
Iran,9,13
Ireland,2,13
Korea,1,13
Mexico,3,13
Ukraine,5,13
China,7,14
France,6,14
Japan,3,14
Mexico,5,14
Russia,4,14
Ukraine,11,14
Germany,5,15
India,4,15
Iran,8,15
Ireland,10,15
Japan,12,15
Mexico,9,15
Russia,7,15
China,17,16
France,5,16
Russia,20,16
China,8,17
France,9,17
Japan,1,17
Mexico,2,17
Ukraine,1,17
United States,7,17
China,8,18
Ireland,12,18
Japan,1,18
Mexico,10,18
Ukraine,10,18
United States,14,18
France,3,19
Germany,8,19
India,1,19
Iran,14,19
Japan,2,19
Russia,20,19
United States,2,19
Australia,6,20
France,9,20
Japan,2,20
Korea,8,20
Australia,9,21
Brazil,6,21
Great Britain,4,21
India,2,21
Iran,4,21
Japan,3,21
Mexico,14,21
Russia,5,21
United States,16,21
Australia,10,22
Great Britain,12,22
Ireland,20,22
Russia,6,22
China,8,23
Germany,6,23
Ireland,7,23
Russia,9,23
Ukraine,5,23
United States,5,23
France,6,24
Germany,3,24
Great Britain,10,24
Iran,8,24
Korea,20,24
Brazil,5,25
Ireland,8,25
Japan,7,25
Korea,15,25
Russia,10,25
Ukraine,9,25
United States,4,25
France,8,26
Japan,6,26
Mexico,4,26
China,1,27
France,3,27
Japan,7,27
Korea,8,27
Mexico,1,27
Australia,2,28
France,1,28
Ireland,9,28
Ukraine,6,28
France,2,32
Great Britain,4,32
Korea,2,32
Mexico,2,32
United States,1,32
India,2,33
China,3,34
Japan,5,34
Korea,13,34
Ukraine,5,34
China,3,35
India,2,35
Ireland,10,35
Korea,5,35
Mexico,8,35
Australia,11,36
Brazil,2,36
Great Britain,2,36
Iran,10,36
Australia,10,37
Brazil,10,37
France,9,37
Japan,8,37
France,10,38
India,8,38
Australia,7,39
France,13,39
Korea,6,39
Mexico,10,39
Russia,6,39
Ukraine,3,39
United States,5,39
Brazil,7,40
France,6,40
Germany,6,40
Great Britain,17,40
Ireland,5,40
Iran,7,41
Ukraine,7,41
China,9,42
Korea,9,42
Mexico,4,42
United States,9,42
China,1,43
Great Britain,3,43
India,8,43
Korea,10,43
Ukraine,3,43
France,4,44
Japan,14,44
Korea,10,44
Russia,6,44
Ukraine,1,44
United States,1,44
Brazil,12,45
France,4,45
Germany,9,45
Mexico,9,45
Australia,5,46
China,3,46
Iran,4,46
Ireland,4,46
Australia,8,47
Great Britain,8,47
India,8,47
Iran,3,47
Japan,10,47
Mexico,9,47
Ukraine,1,47
Brazil,1,48
Iran,8,48
Ireland,2,48
Australia,8,49
Brazil,22,49
China,2,49
France,6,49
Great Britain,5,49
Ireland,7,49
Korea,4,49
Russia,8,49
Ukraine,3,49
Brazil,1,50
China,17,50
France,9,50
Germany,9,50
India,10,50
Iran,5,50
United States,4,50
China,9,51
Great Britain,4,51
India,10,51
Japan,3,51
Korea,6,51
Ukraine,2,51
United States,8,51
France,14,52
Great Britain,10,52
Japan,3,52
Korea,7,52
United States,7,52
China,4,53
France,2,53
Iran,5,53
Mexico,3,53
Ukraine,7,53
France,1,54
Germany,6,54
India,15,54
Iran,16,54
Ireland,15,54
Russia,2,54
Brazil,8,55
France,6,55
Germany,7,55
Great Britain,10,55
Iran,4,55
Russia,7,55
United States,5,55
Brazil,18,56
France,8,56
Ireland,3,56
Ukraine,5,56
China,6,57
Germany,5,57
Mexico,14,57
Russia,10,57
France,2,58
Germany,13,58
Iran,9,58
United States,6,58
Germany,1,59
Korea,9,59
Russia,14,59
United States,19,59
Brazil,20,60
Germany,4,60
India,9,60
Japan,16,60
Mexico,10,60
Ukraine,3,60
United States,2,60
China,12,61
Great Britain,17,61
India,8,61
Korea,6,61
Ukraine,19,61
United States,6,61
Australia,4,62
Germany,5,62
Ireland,7,62
Japan,2,62
Korea,4,62
United States,1,62
Brazil,4,63
France,6,63
Great Britain,4,63
Ireland,7,63
Japan,3,63
Mexico,5,63
Ukraine,16,63
China,8,64
Germany,16,64
Great Britain,10,64
Japan,9,64
Ukraine,9,64
United States,4,64
Brazil,8,65
Iran,5,65
Ireland,3,65
Japan,2,65
Brazil,1,66
France,16,66
Great Britain,1,66
India,8,66
Iran,2,66
United States,6,66
Australia,3,67
France,1,67
Germany,10,67
Great Britain,8,67
Ireland,6,67
Ukraine,10,67
China,5,68
Great Britain,7,68
India,5,68
Ireland,15,68
Japan,13,68
Korea,10,68
Australia,13,69
Great Britain,7,69
India,13,69
Korea,7,69
Russia,4,69
Ukraine,10,69
Australia,8,70
Brazil,6,70
Great Britain,13,70
India,4,70
Japan,3,70
Korea,12,70
Russia,1,70
Ukraine,7,70
Iran,19,71
Ireland,9,71
Korea,2,71
Mexico,7,71
Russia,3,71
Brazil,6,72
Germany,9,72
India,1,72
Mexico,15,72
Russia,18,72
Ukraine,5,72
United States,6,72
Australia,8,73
Brazil,9,73
India,9,73
Iran,8,73
Korea,9,73
Mexico,16,73
Russia,2,73
Ukraine,2,73
Ireland,8,74
Mexico,10,74
Australia,5,75
Germany,8,75
Great Britain,8,75
Iran,7,75
Russia,4,75
United States,7,75
Australia,11,76
Brazil,3,76
Ireland,9,76
Korea,8,76
Australia,14,77
France,4,77
Great Britain,6,77
India,4,77
Iran,2,77
Ireland,1,77
Mexico,5,77
Russia,8,77
United States,8,77
Germany,15,78
Great Britain,23,78
Ireland,5,78
Russia,9,78
Ukraine,7,78
Australia,8,79
Great Britain,3,79
Iran,7,79
Japan,12,79
Russia,21,79
Ukraine,15,79
United States,1,79
Australia,3,80
France,6,80
Japan,4,80
Korea,9,80
Russia,5,80
Australia,2,81
China,7,81
India,7,81
Ireland,10,81
Russia,7,81
Ukraine,18,81
Australia,4,82
Brazil,16,82
Germany,6,82
India,4,82
Iran,6,82
Ireland,3,82
Korea,1,82
Russia,5,82
Brazil,3,83
Germany,1,83
Great Britain,6,83
India,1,83
Iran,6,83
Korea,1,83
Russia,7,83
Ukraine,4,83
Australia,1,84
France,4,84
Germany,5,84
Russia,3,84
China,7,85
Iran,12,85
Ireland,13,85
Japan,3,85
Korea,5,85
Ukraine,10,85
Australia,6,86
China,2,86
France,9,86
Germany,3,86
Great Britain,9,86
Iran,1,86
Russia,11,86
United States,3,86
France,5,87
India,6,87
Japan,16,87
China,5,91
India,10,91
Japan,4,91
Australia,9,92
Iran,8,92
Japan,7,92
Korea,1,92
Brazil,1,93
Germany,7,93
India,9,93
Mexico,6,93
France,9,94
India,10,94
Russia,25,94
Brazil,9,95
Great Britain,14,95
Iran,4,95
United States,4,95
Germany,1,96
India,2,96
Japan,4,96
Australia,10,97
Brazil,7,97
Great Britain,1,97
Mexico,2,97
Russia,4,97
France,3,98
Great Britain,8,98
Iran,8,98
Korea,4,98
Great Britain,5,99
India,8,99
Iran,1,99
Japan,2,99
China,7,100
Iran,9,100
Ireland,1,100
Russia,8,100
Ukraine,8,100
Great Britain,9,101
Ireland,9,101
Japan,10,101
Ukraine,4,101
United States,3,101
Australia,9,102
Brazil,5,102
Mexico,8,102
Australia,8,103
Great Britain,7,103
Iran,5,103
Korea,9,103
Great Britain,1,104
France,7,105
Germany,1,105
India,16,105
Iran,4,105
Japan,2,105
Korea,9,105
United States,9,105
Australia,2,106
India,10,106
Australia,3,107
Korea,8,107
Australia,1,108
France,14,108
India,2,108
Iran,6,108
Japan,9,108
Brazil,9,109
India,11,109
Korea,6,109
United States,3,109
China,5,110
France,9,110
Germany,4,110
Iran,10,110
Germany,1,111
Iran,4,111
Ireland,2,111
Russia,1,111
Australia,8,112
Brazil,1,112
Korea,5,112
Russia,3,112
Brazil,8,113
Japan,7,113
Korea,9,113
Russia,3,113
United States,9,113
Russia,9,114
Germany,16,115
Great Britain,4,115
Iran,11,115
Japan,3,115
Russia,3,115
United States,8,115
India,4,116
Mexico,10,116
Ukraine,9,116
France,5,117
India,5,117
Japan,7,117
United States,9,117
United States,20,118
Brazil,3,121
France,5,121
Great Britain,10,121
Iran,10,121
Mexico,5,122
Australia,4,123
China,13,123
Ireland,1,123
Brazil,2,124
Iran,10,124
Ireland,5,125
Ukraine,7,125
China,13,126
Mexico,3,126
Ukraine,6,126
Japan,8,127
Russia,10,127
United States,3,127
Brazil,2,128
India,16,128
Korea,8,128
France,4,129
Germany,15,129
China,11,130
Ireland,2,130
China,2,131
France,2,131
Great Britain,4,131
India,2,131
Ireland,4,131
Australia,3,133
Iran,6,133
Korea,10,133
France,8,134
Ireland,8,134
Mexico,10,134
France,5,135
Iran,2,135
Ireland,8,135
Russia,8,135
Ukraine,2,135
Australia,8,136
France,5,136
India,9,136
Mexico,6,136
Brazil,11,137
Germany,7,137
Russia,10,137
France,10,138
Germany,4,138
Japan,5,138
Ukraine,2,138
India,3,139
United States,6,139
Japan,10,140
Korea,4,140
Ireland,2,141
Brazil,8,142
Iran,8,142
Japan,10,142
Korea,8,142
Ukraine,8,142
United States,1,142
China,6,143
Germany,10,143
Great Britain,3,143
Iran,8,143
Russia,8,143
India,8,144
Russia,5,144
Germany,2,145
Great Britain,10,145
Ireland,20,145
Japan,5,145
Mexico,3,145
Russia,5,146
Ukraine,5,146
Brazil,5,147
China,4,147
Ireland,3,147
Korea,6,147
China,15,148
France,3,148
Germany,1,148
Great Britain,1,148
Mexico,8,148
Brazil,9,152
China,10,152
India,1,152
Iran,4,152
Ireland,7,152
United States,2,152
France,17,153
Great Britain,7,153
Mexico,8,153
Brazil,12,154
France,3,154
Great Britain,18,154
Iran,14,154
Japan,8,154
Korea,6,154
United States,3,154
Australia,5,155
Great Britain,14,155
India,5,155
Iran,6,155
Korea,3,155
Australia,2,156
China,10,156
France,11,156
Germany,10,156
Great Britain,6,156
India,1,156
Mexico,11,156
Australia,3,157
Brazil,2,157
China,9,157
India,8,157
Iran,9,157
Ireland,8,157
Japan,13,157
Ukraine,2,157
United States,2,157
Australia,15,158
France,5,158
Great Britain,10,158
India,3,158
Iran,10,158
Ireland,16,158
Japan,9,158
Korea,6,158
Mexico,10,158
France,5,159
Germany,18,159
Korea,5,159
Russia,2,159
Ukraine,8,159
United States,10,159
Australia,1,160
Germany,5,160
India,6,160
Iran,4,160
Ireland,6,160
Japan,14,160
United States,13,160
Great Britain,9,161
India,3,161
Iran,4,161
Japan,12,161
Russia,7,161
United States,8,161
Brazil,14,162
France,7,162
Germany,5,162
Great Britain,19,162
Iran,4,162
Ireland,4,162
Korea,6,162
United States,10,162
Brazil,7,163
Germany,10,163
India,5,163
Ireland,2,163
Japan,5,163
Mexico,5,163
Russia,2,163
Ukraine,16,163
Australia,8,164
Brazil,7,164
China,10,164
Japan,6,164
Mexico,11,164
Russia,3,164
Ukraine,17,164
United States,10,164
Australia,7,165
France,1,165
Great Britain,2,165
India,3,165
Ireland,8,165
Japan,4,165
Korea,6,165
Russia,9,165
Australia,16,166
Brazil,3,166
France,1,166
Germany,10,166
Great Britain,10,166
Japan,11,166
Korea,3,166
Russia,7,166
Ukraine,8,166
Australia,6,167
China,2,167
France,17,167
Germany,10,167
Great Britain,5,167
Iran,3,167
Japan,6,167
Korea,10,167
Russia,3,167
Ukraine,8,167
Australia,6,168
Brazil,4,168
China,6,168
France,10,168
Germany,6,168
Great Britain,19,168
India,14,168
Korea,31,168
Russia,17,168
Ukraine,17,168
United States,5,168
Australia,2,169
Brazil,5,169
China,5,169
France,3,169
India,7,169
Ireland,4,169
Korea,15,169
Russia,1,169
United States,5,169
Australia,3,170
China,12,170
France,12,170
Germany,17,170
Iran,8,170
Korea,5,170
United States,9,170
Australia,5,171
China,9,171
France,20,171
Great Britain,8,171
Iran,7,171
Japan,11,171
Mexico,4,171
Ukraine,10,171
Brazil,3,172
China,10,172
France,5,172
Great Britain,5,172
Iran,3,172
Korea,2,172
Russia,11,172
Ukraine,13,172
United States,11,172
France,1,173
India,4,173
Iran,1,173
Ireland,4,173
Korea,14,173
Russia,2,173
Ukraine,4,173
United States,7,173
Australia,8,174
Brazil,11,174
Germany,2,174
Great Britain,20,174
India,10,174
Ireland,2,174
Korea,6,174
Mexico,7,174
Ukraine,4,174
United States,12,174
Brazil,7,175
Germany,7,175
China,11,176
Great Britain,9,176
Ireland,20,176
Korea,2,176
Mexico,4,176
Russia,5,176
United States,7,176
Australia,2,177
Great Britain,10,177
India,6,177
Ireland,6,177
Korea,3,177
Ukraine,2,177
United States,2,177
Australia,7,178
Brazil,9,178
France,8,178
Germany,11,178
India,9,178
Korea,3,178
Mexico,8,178
Ukraine,12,178
Australia,6,179
Brazil,7,179
France,6,179
Korea,8,179
Russia,20,179
Ukraine,22,179
Germany,25,182
Great Britain,7,182
India,4,182
Japan,10,182
Korea,18,182
Russia,4,182
Australia,1,183
Brazil,3,183
France,7,183
Ireland,6,183
Ukraine,3,183
Brazil,9,184
China,5,184
Germany,26,184
Ireland,29,184
Russia,7,184
Ukraine,3,184
Australia,9,185
Brazil,4,185
France,5,185
India,12,185
Ireland,1,185
Mexico,7,185
Ukraine,12,185
Australia,4,186
Brazil,9,186
France,4,186
Iran,1,186
Korea,7,186
Ukraine,9,186
United States,12,186
Australia,8,187
France,7,187
Germany,8,187
Iran,3,187
Korea,6,187
Russia,5,187
Ukraine,9,187
Australia,16,188
Brazil,7,188
Korea,14,188
Russia,10,188
Japan,5,189
Mexico,1,189
Russia,4,189
France,10,190
Germany,3,190
India,9,190
Ireland,5,190
Ukraine,8,190
China,9,191
France,2,191
Iran,10,191
Ireland,5,191
Japan,9,191
Korea,16,191
United States,10,191
Germany,3,192
Great Britain,16,192
India,8,192
Mexico,8,192
Ukraine,7,192
Brazil,10,193
China,2,193
Germany,3,193
Iran,10,193
Ireland,6,193
Korea,6,193
United States,12,193
Germany,12,194
Great Britain,13,194
India,10,194
Iran,4,194
Japan,6,194
Russia,9,194
United States,4,194
Australia,4,195
China,2,195
Japan,5,195
Russia,15,195
Australia,7,196
China,2,196
Germany,5,196
India,2,196
Iran,8,196
Ukraine,3,196
China,3,197
Great Britain,5,197
India,8,197
Ireland,18,197
Japan,10,197
Korea,3,197
Mexico,5,197
Brazil,5,198
Germany,9,198
Ireland,4,198
Japan,8,198
Korea,1,198
Mexico,10,198
Ukraine,16,198
Australia,17,199
Brazil,8,199
Germany,3,199
Great Britain,6,199
Mexico,13,199
Russia,5,199
United States,8,199
Australia,9,200
China,9,200
Korea,1,200
Mexico,8,200
Ukraine,20,200
France,1,201
India,2,201
Japan,6,201
Mexico,21,201
Russia,1,201
Ukraine,10,201
China,13,202
Germany,9,202
Iran,8,202
Ireland,4,202
United States,6,202
Australia,6,203
Brazil,5,203
China,7,203
India,5,203
Iran,4,203
Ireland,9,203
Japan,3,203
Korea,13,203
Ukraine,9,203
Brazil,5,204
China,6,204
Iran,5,204
Japan,9,204
Mexico,1,204
Russia,3,204
Australia,7,205
Brazil,9,205
China,5,205
France,5,205
Germany,14,205
Japan,7,205
Mexico,6,205
Russia,13,205
Ukraine,4,205
Australia,17,206
Brazil,4,206
Great Britain,8,206
Iran,10,206
Japan,7,206
Mexico,6,206
Brazil,9,207
France,1,207
Germany,5,207
Great Britain,12,207
India,4,207
Iran,10,207
Ireland,1,207
Mexico,8,207
United States,5,207
Australia,21,208
China,6,208
France,2,208
Germany,8,208
Great Britain,8,208
Iran,22,208
Ireland,4,208
Russia,13,208
Ukraine,3,208
United States,13,208
Brazil,9,209
France,9,209
Germany,4,209
Great Britain,15,209
India,4,209
Japan,3,209
Korea,4,209
Mexico,18,209
Russia,3,209
Ukraine,7,209
United States,12,209
Australia,5,213
Russia,8,213
Ukraine,1,213
China,10,214
Germany,20,214
Japan,4,214
Korea,5,214
Russia,9,214
China,6,215
India,6,215
Ukraine,4,215
Australia,7,216
Great Britain,11,216
Korea,17,216
Mexico,12,216
Australia,7,217
Korea,2,217
Mexico,6,217
France,9,218
Ireland,3,218
Mexico,9,218
Russia,6,218
Ukraine,7,218
Australia,7,219
Germany,2,219
Russia,2,219
Ukraine,4,219
Brazil,8,220
India,1,220
Ireland,9,220
Korea,4,220
Brazil,2,221
Germany,2,221
Great Britain,4,221
India,4,221
Ireland,2,221
Japan,5,221
Mexico,5,221
Iran,9,222
Mexico,10,222
Ukraine,3,222
Australia,6,223
Brazil,6,223
France,6,223
Great Britain,8,223
Korea,10,223
Mexico,2,223
India,4,224
Mexico,5,224
Ukraine,10,224
United States,6,224
Germany,6,225
Ireland,9,225
Russia,8,225
China,7,226
Great Britain,5,226
Iran,6,226
Japan,10,226
Korea,8,226
Ukraine,9,226
Australia,10,227
China,9,227
France,19,227
Ireland,8,227
Mexico,6,227
Ukraine,5,227
Brazil,5,228
Ireland,9,228
Australia,1,229
China,1,229
Germany,8,229
Great Britain,1,229
India,2,229
Ireland,7,229
Korea,6,229
Mexico,26,229
Brazil,8,230
Germany,9,230
Ireland,4,230
Korea,7,230
China,1,231
Germany,6,231
Iran,1,231
Japan,6,231
Mexico,1,231
France,2,232
Iran,8,232
Japan,3,232
Russia,3,232
Australia,9,233
United States,5,233
Australia,7,234
France,5,234
Germany,5,234
Japan,7,234
Korea,9,234
Mexico,8,234
Russia,1,234
Australia,2,235
Germany,4,235
India,7,235
Iran,4,235
Ireland,3,235
Korea,7,235
United States,17,235
Brazil,3,236
Japan,1,236
Ukraine,6,236
United States,9,236
Australia,8,237
India,4,237
